iso,anio,balance_fiscal,deuda_publica,ingreso_publico
CHL,2021,-7.72312323783927,,24.1674095479002
CHL,2022,1.13200004002418,,26.0812426572599
CHL,2023,-2.39074850027879,,22.9465317535315
COL,2015,-1.40738619185838,53.2785874737167,24.1024162766989
COL,2016,-3.04286241958897,66.9071609125065,24.2234212780588
COL,2017,-2.19824409588726,66.7272478472146,22.5842861999584
COL,2018,-2.61320674678311,71.6505702481056,23.4751871722398
COL,2019,-2.23798643665382,72.7038785770822,25.575368512731
COL,2020,-8.51553357908288,91.1566069449736,23.6871303712315
COL,2021,-7.65394474545161,80.4259616037106,24.1312117221098
COL,2022,-5.29929051233517,70.2611599864283,25.4074707206706
COL,2023,-2.04098550110347,71.3312731896082,28.4136914959886
CRI,2015,,,23.4572080583441
CRI,2016,,,24.0079934600948
CRI,2017,,,23.3185966619773
CRI,2018,,,24.3167782701782
CRI,2019,-2.32627659299422,,27.5354175556737
CRI,2020,-5.3522749947218,,27.1843242899476
CRI,2021,-2.77815643267862,,28.2061355248318
CRI,2022,-0.0522988947716759,,28.8914258324714
CRI,2023,0.439026284006009,,29.3390402864479
DMA,2015,,,
DMA,2016,,,
DMA,2017,,,
DMA,2018,,,
DMA,2019,,,
DMA,2020,,,
DMA,2021,,,
DMA,2022,,,
DMA,2023,,,
DOM,2015,-0.0137507698086695,,14.5186216543802
DOM,2016,-3.02646274607075,,14.827297566694
DOM,2017,-3.38919282715608,,14.9920997503639
DOM,2018,-2.43860550444748,,15.269462908084
DOM,2019,-3.54751974530668,,15.5470600045533
DOM,2020,-8.3098749631764,,14.8813590480588
DOM,2021,-2.46543421523845,,16.4297863174204
DOM,2022,-3.17762653492364,,16.3623217477379
DOM,2023,-3.38217585157086,,17.015284341071
ECU,2015,-5.69774311670289,,30.8458833789351
ECU,2016,-8.57164995739415,,28.6412079584013
ECU,2017,-6.36519719285874,,27.9863154861129
ECU,2018,-3.52514850564392,,31.2062328120813
ECU,2019,-4.27034595652833,,29.6599984642663
ECU,2020,-7.49141811316719,,27.1210867326524
ECU,2021,-2.90457512420842,,29.6714820409688
ECU,2022,-0.00621626745664098,,30.9625405355437
ECU,2023,,,
GRD,2015,,,
GRD,2016,,,
GRD,2017,,,
GRD,2018,,,
GRD,2019,,,
GRD,2020,,,
GRD,2021,,,
GRD,2022,,,
GRD,2023,,,
GTM,2015,-1.47564487783448,,11.6684130766311
GTM,2016,-1.11021822656786,,11.9784847026855
GTM,2017,-1.37831049093858,,11.8855616228225
GTM,2018,-1.87503523800931,,11.7783778069365
GTM,2019,-2.23511034211637,,11.7162477369852
GTM,2020,-4.35589779033159,,11.118681180436
GTM,2021,-1.14900209815134,,12.6596673834992
GTM,2022,-1.70787872719767,,12.8936854888585
GTM,2023,-1.25751928033412,,12.8498936023601
GUY,2015,,,
GUY,2016,,,
GUY,2017,,,
GUY,2018,,,
GUY,2019,,,
GUY,2020,,,
GUY,2021,,,
GUY,2022,,,
GUY,2023,,,
HND,2015,-0.859334595922316,,23.363155171353
HND,2016,,,
HND,2017,,,
HND,2018,,,
HND,2019,,,
HND,2020,-4.52977692141499,,22.2099126100845
HND,2021,,,
HND,2022,,,
HND,2023,,,
HTI,2015,,,
HTI,2016,,,
HTI,2017,,,
HTI,2018,,,
HTI,2019,,,
HTI,2020,,,
HTI,2021,,,
HTI,2022,,,
HTI,2023,,,
JAM,2015,-0.279020145129201,118.195358706681,26.0434729497215
JAM,2016,-0.186511889592285,115.889445482292,26.8205974834377
JAM,2017,0.431910680659726,96.136723606367,27.7646551590305
JAM,2018,1.12272670993046,,28.956310897592
JAM,2019,1.54581033725703,85.7693465475141,28.6261738973365
JAM,2020,-2.83277548805149,97.8664003352989,26.937333176305
JAM,2021,,,
JAM,2022,,,
JAM,2023,,,
KNA,2015,6.51808860514606,,34.3048945637454
KNA,2016,1.76831309478703,,28.1318859186068
KNA,2017,1.78531382277913,,26.299301993104
KNA,2018,,,
KNA,2019,,,
KNA,2020,-2.25007227885812,,28.4590147448871
KNA,2021,,,
KNA,2022,,,
KNA,2023,,,
LCA,2015,-1.90487703431729,,19.7095456938961
LCA,2016,-0.457476308554688,,20.1305432828484
LCA,2017,-0.861755832141083,,19.4078532828264
LCA,2018,,,
LCA,2019,,,
LCA,2020,,,
LCA,2021,,,
LCA,2022,,,
LCA,2023,,,
MEX,2015,-3.11885188192299,,18.3681968714647
MEX,2016,-1.62118179871436,,19.1915888785393
MEX,2017,-0.845266946151578,,19.4469058462512
MEX,2018,-2.11318831516787,,18.3342427407296
MEX,2019,-1.61318460276811,41.3273940627237,18.5191670625259
MEX,2020,-3.63899768692085,45.8373464150183,18.6445328298003
MEX,2021,-3.32386358587642,44.8609558065004,18.3430886486889
MEX,2022,-4.30934820805177,43.9694401566719,19.2711611449441
MEX,2023,-4.18573429010021,45.055380246523,19.0449981034342
NIC,2015,-0.583201904246945,,16.7280500642775
NIC,2016,-0.586115239305093,,17.3827290426753
NIC,2017,-0.587948185967631,,17.8258154423666
NIC,2018,-1.93864925584338,,16.9620048772188
NIC,2019,0.257605882352745,,18.8466464658517
NIC,2020,-1.04830949642303,,18.4889521054397
NIC,2021,-0.730929555596111,,20.5214773588265
NIC,2022,1.29650798278862,,21.5053904884945
NIC,2023,2.65900583968355,,21.5078651205282
PAN,2015,-4.02680842956423,,12.8142247025193
PAN,2016,-3.35818851413364,,12.6851464174451
PAN,2017,-2.8001836747991,,13.4436093989475
PAN,2018,-2.62383159040578,,13.1867976123542
PAN,2019,-5.58323163423213,,11.8306567007958
PAN,2020,-8.23721612745016,,11.5147047797974
PAN,2021,-6.64214833219757,,11.1554031256111
PAN,2022,,,
PAN,2023,,,
PER,2015,-2.40967246414886,22.865554469277,19.679565807863
PER,2016,-1.76643473125096,23.7062564342415,18.2765652206734
PER,2017,-3.41282464124008,24.7483395120072,17.8234033989894
PER,2018,-2.10453576583639,25.7290009576063,19.0379642707319
PER,2019,-2.13920942147812,26.5266050304096,19.5290026661565
PER,2020,-9.66579337620001,34.7649150438361,18.0501223065786
PER,2021,-3.24203590484588,35.2492265648321,20.6771966687553
PER,2022,,,
PER,2023,,,
PRI,2015,,,
PRI,2016,,,
PRI,2017,,,
PRI,2018,,,
PRI,2019,,,
PRI,2020,,,
PRI,2021,,,
PRI,2022,,,
PRI,2023,,,
PRY,2015,-0.409459349125011,,17.358483664503
PRY,2016,0.172164834815949,,16.8648796628618
PRY,2017,-0.435394589337389,,17.4431333716598
PRY,2018,-1.0181187376389,,17.3317797902031
PRY,2019,-2.38557658966851,,17.5461211473444
PRY,2020,-5.76161004932235,,16.7319714533199
PRY,2021,-3.3855465837744,,16.8868520553405
PRY,2022,-2.63772983075328,,17.3957386518946
PRY,2023,-3.81724810364245,,17.5729662059172
SLV,2015,-1.30542832718732,51.2784032678648,20.8150431413365
SLV,2016,-0.18585473187881,52.0656561693955,23.6888663993406
SLV,2017,-0.5756729081453,55.248518820306,25.0974253686368
SLV,2018,-0.620271820482421,52.2142820084663,24.9488391040262
SLV,2019,-0.889843213494666,53.8790393562178,24.1024004190298
SLV,2020,-10.1231120985796,70.3842794023881,23.5586663397695
SLV,2021,-2.89913556178843,66.4690525886664,28.5747339991475
SLV,2022,-2.727005734525,74.0361190983906,28.191923971419
SLV,2023,-2.81757812242829,102.190173433284,26.0511443955415
SUR,2015,,,
SUR,2016,,,
SUR,2017,,,
SUR,2018,,,
SUR,2019,,,
SUR,2020,,,
SUR,2021,,,
SUR,2022,,,
SUR,2023,,,
TTO,2015,-1.31681775954333,,35.8629396068095
TTO,2016,-3.90638326389358,,31.2390699061462
TTO,2017,-6.40135244377081,,28.7268899879201
TTO,2018,-3.34668595354151,,29.5653403216796
TTO,2019,-10.6222634278285,,24.2635768758849
TTO,2020,,,
TTO,2021,,,
TTO,2022,,,
TTO,2023,,,
URY,2015,,47.2765585126953,28.1236212798537
URY,2016,,46.4584676105582,33.1100434313663
URY,2017,,45.0744196869827,29.7075109246204
URY,2018,,47.341475064134,31.3533848442693
URY,2019,,50.1314491818532,30.6396644583495
URY,2020,,60.4014181135621,30.8483157882517
URY,2021,,58.113052857752,29.1017733541657
URY,2022,,54.2372595323111,29.6888696320693
URY,2023,,62.3670975853084,30.8302778846325
VCT,2015,-1.23463766068654,,24.4295333615859
VCT,2016,2.08176037696373,,26.9523610264621
VCT,2017,-1.54196523776718,,25.5657309854272
VCT,2018,,,
VCT,2019,,,
VCT,2020,,,
VCT,2021,,,
VCT,2022,,,
VCT,2023,,,
VEN,2015,,,
VEN,2016,,,
VEN,2017,,,
VEN,2018,,,
VEN,2019,,,
VEN,2020,,,
VEN,2021,,,
VEN,2022,,,
VEN,2023,,,
